precipitacion,infiltracion_suelo,pendiente_terreno,areas_impermeables,capacidad_drenaje,escorrentia_superficial,inundacion
74.90802376947249,9.256646441930982,3.9255852560385893,57.08920959462286,3287.983513134371,39.363552027744205,0
190.14286128198324,27.095047368917907,3.704681986079997,65.76769780339606,4221.729317199945,47.34356593750214,0
146.398788362281,43.647291793820415,13.59381870781555,27.53275291547493,4040.643719160636,85.45473932021804,1
119.73169683940732,36.61124432047806,3.7431929977425913,53.74118697248992,1615.5996187750948,34.00043860598922,0
31.203728088487303,40.328057393072484,4.079245891929465,50.022218820062406,1596.9978789658958,86.96496848121713,0
31.19890406724053,32.93916833553587,11.390973936269456,68.29812637517898,2072.697470979653,8.813443097669149,1
11.616722433639893,34.613828225892625,6.7460976367581,73.42609423368825,2444.2989053641486,77.67984372086308,0
173.23522915498702,42.459782578265965,11.650658354327717,10.850974003417077,2633.8223256339306,84.75476330547363,0
120.22300234864176,12.483400442959297,0.9804923634657786,57.18139433411549,3718.788867333381,18.181765283733874,0
141.6145155592091,24.471248182157023,7.313567905100765,13.628505938381032,1226.7217286633415,43.03465323722004,0
4.116898859160489,11.060472090980111,0.5042040027492395,48.42010655541492,1138.6908169042656,16.54997746636556,1
193.98197043239887,49.38340039983235,0.9397980518303178,30.134291033057472,2567.6422517756364,70.66041289942177,1
166.48852816008434,47.202966984330665,13.596561800166164,31.474361966549885,3788.6547685519217,53.534776806165674,1
42.46782213565523,1.971340568425295,2.0886805667639274,34.70709524166496,1773.7413718259304,63.5323346708321,0
36.364993441420125,35.27875862578442,7.986310234128257,53.490471433472706,3566.0179250250067,19.648696695621116,0
36.68090197068676,46.26241587078329,6.166434039010598,33.38349759681385,2039.312551761198,21.17458620524195,1
60.84844859190754,9.028767256366677,5.21014989388264,61.28893354131963,4544.3444352540655,4.149732550990636,0
104.95128632644757,28.397261527631475,13.497500185309088,38.31691699017088,4582.759777066466,32.20675351957297,0
86.38900372842315,45.774414879402094,0.3273509516323425,14.784724021697103,2189.148817125306,55.97446613336749,0
58.245828039608384,1.697298929289942,9.956845292633837,64.8631889738875,1919.975015852962,85.79349139973289,0
122.3705789444759,34.871013362342,14.450916513203257,30.00308272148942,2645.215888264925,66.69274474586807,0
27.898772130408368,14.867450368627539,8.402522751927629,40.29368157194838,1962.1263407205947,43.53963233997514,1
